name,market_value_in_eur
Player_1,5933097
Player_2,2769238
Player_3,7111517
Player_4,20330561
Player_5,2468240
Player_6,2468288
Player_7,21748500
Player_8,8210477
Player_9,1861011
Player_10,6268652
Player_11,1874586
Player_12,1869392
Player_13,4370354
Player_14,329082
Player_15,412544
Player_16,1664865
Player_17,969564
Player_18,4766375
Player_19,1099505
Player_20,600330
Player_21,18977763
Player_22,2493177
Player_23,3544947
Player_24,591432
Player_25,1701023
Player_26,3734435
Player_27,821434
Player_28,5131135
Player_29,1589982
Player_30,2303562
Player_31,1587946
Player_32,30181322
Player_33,3216496
Player_34,918729
Player_35,8771811
Player_36,755388
Player_37,4200173
Player_38,311263
Player_39,664092
Player_40,4140112
Player_41,7929970
Player_42,4015377
Player_43,2845422
Player_44,2277697
Player_45,554473
Player_46,1378059
Player_47,1880848
Player_48,11623583
Player_49,4937363
Player_50,394096
Player_51,4822971
Player_52,2059350
Player_53,1450898
Player_54,6810741
Player_55,11264868
Player_56,9994406
Player_57,1194142
Player_58,2255641
Player_59,4864702
Player_60,10539642
Player_61,1839475
Player_62,2616136
Player_63,866656
Player_64,778054
Player_65,8666980
Player_66,16642796
Player_67,2998395
Player_68,10899630
Player_69,5045277
Player_70,1507338
Player_71,5043822
Player_72,20699992
Player_73,3131456
Player_74,21371576
Player_75,140970
Player_76,8765051
Player_77,3628959
Player_78,2283434
Player_79,3649544
Player_80,301015
Player_81,2511507
Player_82,5017965
Player_83,19258688
Player_84,1755169
Player_85,1238990
Player_86,1790296
Player_87,9805779
Player_88,4850058
Player_89,1731134
Player_90,6052130
Player_91,3672903
Player_92,10452732
Player_93,1407796
Player_94,2206251
Player_95,2042061
Player_96,564548
Player_97,4663814
Player_98,4471642
Player_99,3289138
Player_100,2466955
Player_101,598125
Player_102,1973315
Player_103,2166757
Player_104,1248267
Player_105,2693783
Player_106,5308718
Player_107,31434704
Player_108,4030872
Player_109,4452874
Player_110,2989644
Player_111,326921
Player_112,3166645
Player_113,3514037
Player_114,62826689
Player_115,2595181
Player_116,4694287
Player_117,3135646
Player_118,804186
Player_119,12882590
Player_120,8059157
Player_121,8446294
Player_122,1097708
Player_123,17599009
Player_124,607907
Player_125,6610887
Player_126,45287732
Player_127,995854
Player_128,1656873
Player_129,3684265
Player_130,1786607
Player_131,508491
Player_132,3549351
Player_133,913679
Player_134,5770740
Player_135,1084566
Player_136,20997654
Player_137,1277091
Player_138,2221128
Player_139,8677297
Player_140,746359
Player_141,4294956
Player_142,15690583
Player_143,474976
Player_144,4079808
Player_145,4465355
Player_146,8353468
Player_147,740928
Player_148,670280
Player_149,6115455
Player_150,4668655
Player_151,4415322
Player_152,4954158
Player_153,1445506
Player_154,4319734
Player_155,4646788
Player_156,1387172
Player_157,30674106
Player_158,5772405
Player_159,782646
Player_160,7187574
Player_161,1014982
Player_162,8406380
Player_163,13128745
Player_164,1221000
Player_165,10386852
Player_166,5364625
Player_167,8766710
Player_168,31837378
Player_169,2435187
Player_170,1323137
Player_171,1124200
Player_172,1228159
Player_173,2980131
Player_174,4922772
Player_175,4556334
Player_176,8820771
Player_177,3320421
Player_178,18703867
Player_179,2379525
Player_180,85515054
Player_181,6926054
Player_182,1168709
Player_183,904311
Player_184,5832561
Player_185,2500108
Player_186,7700536
Player_187,5768283
Player_188,2995450
Player_189,1183335
Player_190,530822
Player_191,1912997
Player_192,9135500
Player_193,4226617
Player_194,733155
Player_195,4024121
Player_196,5190709
Player_197,1131857
Player_198,3931258
Player_199,3505523
Player_200,829381
Player_201,5022030
Player_202,6407254
Player_203,11990934
Player_204,11577365
Player_205,625806
Player_206,1060880
Player_207,6064983
